20190128
now we require library file with multiple independent parameters having faster-changed parameter listed in lefter column and slower-changed paramter listed in righter column.

e.g., assuming each library template has only one element along x axis, 
PAR1 has 6 values, PAR2 has 2 values and PAR3 has 3 values, 
then we require a library like: 

#     X       Y    PAR1     PAR2     PAR3
#     -       -    ----     ----     ----
      1      0.1      1        1        1
      1      0.1      2        1        1
      1      0.1      3        1        1
      1      0.1      4        1        1
      1      0.1      5        1        1
      1      0.1      6        1        1
      1      0.1      1        2        1
      1      0.1      2        2        1
      1      0.1      3        2        1
      1      0.1      4        2        1
      1      0.1      5        2        1
      1      0.1      6        2        1
      1      0.1      1        1        2
      1      0.1      2        1        2
      1      0.1      3        1        2
      1      0.1      4        1        2
      1      0.1      5        1        2
      1      0.1      6        1        2
      1      0.1      1        2        2
      1      0.1      2        2        2
      1      0.1      3        2        2
      1      0.1      4        2        2
      1      0.1      5        2        2
      1      0.1      6        2        2
      1      0.1      1        1        3
      1      0.1      2        1        3
      1      0.1      3        1        3
      1      0.1      4        1        3
      1      0.1      5        1        3
      1      0.1      6        1        3
      1      0.1      1        2        3
      1      0.1      2        2        3
      1      0.1      3        2        3
      1      0.1      4        2        3
      1      0.1      5        2        3
      1      0.1      6        2        3

PLEASE DO NOT SWAP COLUMN ORDER

